score,count
720,1125
719,1122
718,1011
717,1326
716,1031
715,1136
714,1141
713,1042
712,1362
711,1374
710,1194
709,1187
708,942
707,1316
706,1372
705,1323
704,1043
703,1167
702,964
701,983
700,1239
699,913
698,1210
697,935
696,1295
695,901
694,914
693,1074
692,956
691,960
690,1215
689,1164
688,985
687,881
686,982
685,1157
684,870
683,927
682,1112
681,876
680,854
679,939
678,1035
677,1116
676,997
675,1001
674,878
673,932
672,888
671,1007
670,1163
669,934
668,868
667,848
666,1131
665,943
664,1016
663,893
662,1063
661,974
660,1024
659,918
658,738
657,795
656,1030
655,885
654,893
653,744
652,920
651,795
650,864
649,873
648,948
647,697
646,956
645,872
644,943
643,922
642,1003
641,751
640,854
639,793
638,742
637,785
636,920
635,708
634,797
633,813
632,661
631,772
630,748
629,869
628,821
627,714
626,684
625,765
624,651
623,653
622,870
621,880
620,683
619,733
618,809
617,612
616,640
615,605
614,778
613,716
612,746
611,680
610,740
609,606
608,589
607,810
606,657
605,641
604,745
603,683
602,728
601,819
600,622
599,592
598,611
597,774
596,709
595,729
594,640
593,624
592,540
591,726
590,708
589,618
588,593
587,678
586,610
585,612
584,680
583,683
582,504
581,708
580,700
579,506
578,654
577,723
576,688
575,579
574,609
573,561
572,655
571,688
570,642
569,601
568,601
567,556
566,533
565,676
564,650
563,639
562,545
561,484
560,502
559,635
558,597
557,513
556,455
555,605
554,489
553,613
552,531
551,485
550,472
549,620
548,622
547,467
546,626
545,437
544,429
543,582
542,575
541,576
540,601
539,529
538,523
537,412
536,554
535,507
534,507
533,411
532,411
531,398
530,456
529,539
528,426
527,496
526,478
525,442
524,434
523,449
522,382
521,394
520,374
519,459
518,517
517,401
516,456
515,471
514,466
513,517
512,448
511,487
510,367
509,500
508,482
507,428
506,356
505,508
504,380
503,504
502,454
501,480
500,421
499,344
498,353
497,477
496,380
495,424
494,476
493,473
492,428
491,462
490,472
489,439
488,331
487,367
486,444
485,390
484,342
483,387
482,346
481,316
480,319
479,318
478,302
477,412
476,367
475,422
474,312
473,376
472,316
471,328
470,388
469,426
468,380
467,309
466,389
465,411
464,315
463,395
462,403
461,313
460,370
459,304
458,336
457,382
456,314
455,371
454,375
453,271
452,288
451,297
450,365
449,269
448,283
447,317
446,369
445,313
444,371
443,308
442,280
441,333
440,343
439,274
438,272
437,255
436,311
435,253
434,300
433,332
432,261
431,255
430,247
429,265
428,291
427,233
426,255
425,256
424,274
423,241
422,324
421,295
420,237
419,328
418,301
417,223
416,270
415,235
414,306
413,288
412,223
411,275
410,260
409,314
408,215
407,299
406,283
405,240
404,220
403,262
402,210
401,232
400,299
399,201
398,223
397,280
396,262
395,244
394,246
393,200
392,198
391,257
390,266
389,209
388,203
387,218
386,272
385,260
384,230
383,277
382,276
381,274
380,193
379,268
378,196
377,250
376,186
375,195
374,208
373,194
372,253
371,187
370,191
369,241
368,209
367,231
366,202
365,192
364,233
363,189
362,233
361,244
360,172
359,220
358,237
357,211
356,167
355,196
354,206
353,199
352,165
351,204
350,218
349,183
348,198
347,190
346,198
345,174
344,225
343,173
342,199
341,182
340,167
339,178
338,149
337,212
336,170
335,149
334,146
333,150
332,167
331,153
330,202
329,194
328,205
327,154
326,164
325,198
324,156
323,146
322,141
321,151
320,186
319,193
318,169
317,145
316,175
315,135
314,141
313,154
312,174
311,169
310,144
309,148
308,160
307,143
306,145
305,162
304,154
303,175
302,155
301,164
300,125
299,181
298,178
297,130
296,166
295,154
294,139
293,157
292,160
291,135
290,128
289,151
288,162
287,116
286,127
285,136
284,144
283,119
282,159
281,133
280,157
279,135
278,144
277,148
276,142
275,155
274,142
273,150
272,118
271,149
270,157
269,131
268,107
267,123
266,114
265,151
264,113
263,152
262,112
261,107
260,144
259,102
258,118
257,143
256,144
255,125
254,133
253,139
252,102
251,106
250,139
249,122
248,104
247,109
246,105
245,98
244,125
243,116
242,136
241,112
240,129
239,105
238,128
237,98
236,115
235,90
234,104
233,112
232,119
231,129
230,96
229,92
228,103
227,87
226,105
225,106
224,86
223,102
222,121
221,110
220,122
219,108
218,108
217,109
216,92
215,102
