score,count
720,1225
719,1022
718,1200
717,1467
716,1234
715,1400
714,1149
713,1265
712,1181
711,1356
710,963
709,1051
708,956
707,1106
706,1170
705,1316
704,1130
703,953
702,961
701,1100
700,1175
699,1121
698,1288
697,1082
696,1029
695,1175
694,947
693,937
692,966
691,1112
690,1250
689,1032
688,1226
687,1081
686,886
685,862
684,934
683,1162
682,1018
681,1205
680,890
679,1114
678,1111
677,1197
676,1136
675,1067
674,1134
673,832
672,930
671,953
670,1003
669,1131
668,785
667,1070
666,912
665,869
664,1077
663,1036
662,988
661,1067
660,922
659,784
658,1095
657,825
656,822
655,1061
654,892
653,843
652,936
651,849
650,768
649,980
648,948
647,814
646,866
645,750
644,811
643,875
642,827
641,969
640,827
639,741
638,820
637,924
636,753
635,811
634,702
633,795
632,817
631,776
630,868
629,858
628,651
627,709
626,724
625,640
624,888
623,834
622,675
621,629
620,865
619,658
618,664
617,659
616,669
615,748
614,845
613,767
612,797
611,831
610,685
609,782
608,588
607,830
606,625
605,673
604,708
603,694
602,747
601,792
600,787
599,696
598,557
597,763
596,672
595,664
594,737
593,690
592,581
591,544
590,657
589,593
588,524
587,614
586,530
585,674
584,579
583,567
582,557
581,691
580,660
579,640
578,595
577,598
576,609
575,531
574,608
573,719
572,500
571,499
570,609
569,554
568,593
567,510
566,464
565,620
564,619
563,522
562,656
561,639
560,467
559,616
558,488
557,653
556,451
555,587
554,449
553,582
552,455
551,610
550,618
549,482
548,575
547,442
546,517
545,593
544,447
543,565
542,584
541,473
540,410
539,600
538,497
537,548
536,460
535,472
534,500
533,553
532,402
531,475
530,505
529,418
528,403
527,426
526,431
525,393
524,383
523,459
522,521
521,373
520,504
519,534
518,389
517,530
516,411
515,447
514,364
513,480
512,464
511,457
510,427
509,441
508,444
507,353
506,441
505,460
504,355
503,401
502,452
501,477
500,339
499,412
498,446
497,466
496,365
495,382
494,422
493,450
492,369
491,363
490,342
489,317
488,325
487,382
486,335
485,406
484,376
483,436
482,360
481,447
480,347
479,400
478,414
477,401
476,346
475,316
474,429
473,374
472,328
471,410
470,382
469,367
468,340
467,349
466,375
465,323
464,361
463,288
462,343
461,293
460,304
459,348
458,383
457,364
456,280
455,378
454,300
453,283
452,302
451,298
450,375
449,317
448,344
447,379
446,258
445,295
444,357
443,300
442,360
441,307
440,259
439,320
438,289
437,272
436,247
435,268
434,241
433,288
432,305
431,266
430,260
429,243
428,347
427,264
426,252
425,236
424,335
423,252
422,241
421,314
420,296
419,233
418,270
417,256
416,275
415,315
414,272
413,253
412,251
411,295
410,260
409,230
408,232
407,247
