score,count
720,1429
719,1217
718,1086
717,1004
716,1389
715,1341
714,1452
713,996
712,1379
711,1093
710,1004
709,1369
708,1245
707,1284
706,1105
705,1155
704,1330
703,1349
702,1030
701,1049
700,1331
699,1128
698,924
697,986
696,1278
695,904
694,910
693,1251
692,1090
691,1275
690,1086
689,1089
688,1126
687,899
686,1050
685,1169
684,1034
683,949
682,1104
681,947
680,1097
679,1090
678,896
677,1009
676,963
675,869
674,911
673,1047
672,1019
671,995
670,1128
669,978
668,856
667,1141
666,1086
665,1088
664,932
663,900
662,923
661,1028
660,936
659,880
658,1077
657,895
656,828
655,940
654,1068
653,865
652,756
651,752
650,775
649,904
648,715
647,974
646,712
645,964
644,843
643,963
642,972
641,834
640,835
639,921
638,956
637,702
636,863
635,899
634,768
633,808
632,665
631,858
630,878
629,910
628,808
627,670
626,679
625,786
624,826
623,896
622,875
621,844
620,624
619,685
618,608
617,672
616,620
615,716
614,876
613,846
612,795
611,778
610,641
609,667
608,605
607,798
606,718
605,791
604,686
603,748
602,700
601,583
600,785
599,717
598,565
597,595
596,571
595,706
594,635
593,670
592,758
591,697
590,654
589,763
588,596
587,642
586,594
585,657
584,592
583,603
582,728
581,570
580,515
579,574
578,627
577,520
576,670
575,601
574,484
573,640
572,673
571,660
570,689
569,533
568,656
567,596
566,655
565,613
564,673
563,536
562,579
561,629
560,555
559,481
558,640
557,646
556,458
555,506
554,623
553,552
552,640
551,538
550,526
549,448
548,533
547,624
546,467
545,611
544,517
543,472
542,437
541,438
540,518
539,428
538,569
537,480
536,420
535,432
534,525
533,579
532,428
531,456
530,424
529,577
528,421
527,387
526,496
525,392
524,523
523,383
522,512
521,382
520,433
519,454
518,438
517,385
516,471
515,431
514,429
513,386
512,522
511,412
510,445
509,478
508,390
507,362
506,348
505,431
504,421
503,357
502,448
501,378
500,435
499,479
498,392
497,421
496,440
495,330
494,367
493,362
492,472
491,372
490,371
489,375
488,369
487,456
486,388
485,460
484,455
483,458
482,338
481,408
480,372
479,449
478,322
477,438
476,396
475,349
474,359
473,339
472,325
471,331
470,310
469,375
468,339
467,378
466,335
465,374
464,386
463,313
462,305
461,330
460,288
459,374
458,324
457,388
456,363
455,348
454,268
453,385
452,303
451,262
450,305
449,367
448,339
447,356
446,283
445,341
444,325
443,317
442,323
441,275
440,303
439,262
438,261
437,343
436,334
435,272
434,261
433,283
432,253
431,281
430,244
429,303
428,235
427,326
426,314
425,245
424,239
423,298
422,276
421,253
420,310
419,276
418,247
417,311
416,267
415,316
414,225
413,272
412,284
411,313
410,309
409,219
408,253
407,294
406,228
405,276
404,221
403,276
402,285
401,286
400,258
399,213
398,243
397,285
396,296
395,262
394,221
393,271
392,267
391,211
390,251
389,257
388,277
387,193
386,275
385,268
384,210
383,196
382,207
381,214
380,212
379,256
378,262
377,198
376,232
375,226
374,197
373,215
372,224
371,251
370,183
369,179
368,212
367,197
366,185
365,240
364,204
363,243
362,212
361,210
360,221
359,209
358,232
357,171
356,176
355,197
354,169
353,202
352,228
351,181
350,216
349,176
348,223
347,195
346,179
345,219
344,183
343,160
342,183
341,224
340,155
339,159
338,196
337,202
336,211
335,204
334,158
333,203
332,171
331,194
330,166
329,159
328,166
327,195
326,187
325,204
324,204
323,198
322,190
321,167
320,183
319,182
318,146
317,173
316,155
315,149
314,131
313,190
312,150
311,185
310,189
309,143
308,171
307,138
306,146
305,189
304,160
303,156
302,183
301,148
300,147
299,168
298,170
297,142
296,163
295,123
294,139
293,169
292,177
291,158
290,116
289,153
288,162
287,158
286,170
285,169
284,125
283,120
282,159
281,118
280,114
279,141
278,122
277,163
276,141
275,130
274,119
273,154
272,137
271,152
270,118
269,151
268,129
267,156
266,109
265,122
264,145
263,122
262,108
261,125
260,100
259,137
258,129
257,123
256,134
255,140
254,114
253,99
252,106
251,131
250,134
249,101
248,101
247,94
246,134
245,117
244,132
243,122
242,119
241,93
240,119
239,92
238,127
237,103
236,112
235,129
234,91
233,103
232,104
231,127
230,100
229,107
228,119
227,95
226,114
225,112
224,125
223,90
222,94
221,115
220,87
219,118
218,100
217,120
216,100
215,111
214,109
213,92
212,85
211,102
210,100
209,106
208,81
207,111
206,85
205,83
204,97
203,82
202,99
201,91
200,79
199,103
198,88
197,101
196,91
195,89
194,97
193,100
192,88
191,93
190,74
189,76
188,92
187,93
186,77
185,97
184,77
183,85
182,77
181,76
180,93
179,91
178,70
177,85
176,83
175,82
174,96
173,67
172,68
171,75
170,86
169,93
168,70
167,64
166,82
165,87
164,93
163,77
162,84
161,78
160,76
159,62
158,71
157,69
156,61
155,80
154,87
153,64
152,63
151,63
150,86
149,63
148,72
147,72
146,82
145,56
144,64
143,67
142,69
141,67
140,58
139,76
138,58
137,75
136,76
135,62
134,61
133,69
132,60
131,53
130,58
129,74
128,71
127,66
126,73
125,66
124,58
123,52
122,56
121,56
120,53
119,59
118,67
117,64
116,70
115,58
114,56
113,71
112,57
111,56
110,58
109,65
108,50
107,65
106,57
105,51
104,55
103,49
102,55
101,48
100,53
99,65
98,57
97,66
96,55
95,45
94,65
93,59
92,57
91,63
90,53
89,47
